pupilid,wordscore,sentscore,letterscore,spellscore,additions_score,substractions_score,multiplications_score
4301003,0,6,0,0,1,1,0
4301004,0,1,1,0,0,0,0
4301005,0,0,10,0,4,5,0
4301007,0,0,7,0,2,4,0
4301009,0,0,14,0,3,1,0
4301010,0,0,32,0,4,3,0
4301011,0,0,41,3,5,6,0
4301012,0,5,29,0,3,3,2
4301013,3,0,45,1,4,4,0
4301014,2,5,28,1,5,5,0
4301015,2,2,33,2,3,5,1
4301017,0,3,24,0,4,2,0
4301018,4,0,26,0,3,3,0
4301019,0,2,0,0,2,0,0
4301021,4,0,51,2,5,2,0
4301022,2,0,20,0,3,5,0
4301023,2,5,58,3,4,3,2
4301024,0,0,12,0,1,2,0
4301027,3,7,10,0,1,0,0
4301030,2,1,24,4,3,2,0
4301031,0,4,0,0,2,3,0
4301032,0,7,15,0,1,1,0
4301033,0,1,16,0,4,1,0
4301034,0,5,24,0,5,6,0
4301035,4,0,42,2,5,4,0
4301037,0,0,31,0,4,4,2
4301038,0,8,34,0,3,4,0
4301039,8,0,0,0,5,4,0
4301041,0,8,17,0,4,2,0
4301042,0,8,19,0,0,0,0
4301044,0,5,13,0,3,5,0
4301045,0,2,17,0,2,3,0
4301046,6,1,1,0,4,2,0
4301048,0,8,41,0,3,4,2
4301050,0,0,34,0,4,5,1
4301052,0,0,28,0,6,5,2
4301054,0,0,6,0,4,3,0
4301056,0,0,22,0,4,4,1
4301057,0,7,18,0,1,2,0
4301058,0,4,26,0,1,4,1
4301059,20,1,36,7,4,5,0
4301060,0,0,32,2,5,5,1
4301062,0,7,26,2,2,4,0
4301063,18,7,42,8,5,3,3
4301064,24,15,63,9,4,4,3
4301065,0,1,15,1,5,5,1
4301067,8,0,26,0,2,6,0
4301069,0,2,25,0,5,6,0
4301070,0,1,16,0,5,3,0
4301071,24,17,70,10,4,4,3
4301073,16,1,40,7,5,4,1
4301076,0,2,15,0,3,2,0
4301078,12,0,37,3,4,5,2
4321001,0,3,6,1,3,4,0
4321002,0,8,10,0,0,2,0
4321003,0,0,0,0,2,2,0
4321004,0,10,1,0,1,1,0
4321005,2,0,11,1,3,3,0
4321006,0,9,9,0,1,0,0
4321007,0,0,3,0,3,2,0
4321008,0,0,1,1,2,5,1
4321009,0,0,2,0,2,1,0
4321010,0,2,21,0,3,4,0
4321011,0,0,9,0,0,2,0
4321013,4,0,0,0,3,3,0
4321014,0,1,26,0,6,5,0
4321015,0,6,2,0,2,1,0
4321016,0,14,31,0,4,3,0
4321017,0,10,27,0,6,1,0
4321019,8,4,27,0,4,6,2
4321020,8,0,3,4,1,1,0
4321021,14,8,11,4,5,3,0
4321022,0,0,1,0,5,1,0
4321025,0,12,40,0,2,3,0
4321026,0,2,15,0,3,1,0
4321027,0,0,13,0,2,3,0
4321028,0,6,12,0,3,2,0
4321030,0,8,38,2,4,4,3
4321031,12,2,37,5,5,4,1
4321033,8,0,14,0,5,4,0
4321034,0,3,22,1,4,5,2
4321035,2,0,21,0,4,4,0
4321038,0,0,14,0,5,6,3
4321039,0,2,3,0,1,1,0
4321041,10,0,33,6,3,3,1
4321042,20,0,43,4,4,6,0
4321043,0,0,33,0,7,6,3
4321044,0,0,7,0,5,6,0
4321045,0,8,12,0,5,5,2
4321046,0,6,33,1,7,1,1
4321047,2,0,39,0,5,6,0
4321048,12,0,48,4,7,5,3
4321049,0,0,1,0,6,6,0
4321051,0,0,13,0,4,5,2
4321052,0,2,4,1,4,1,0
4321053,0,0,31,0,4,6,1
4321054,0,6,4,0,3,3,0
4321057,0,0,21,0,6,3,0
4321058,2,0,23,1,4,3,0
4321059,8,0,16,1,7,2,0
4321060,4,4,22,7,6,5,3
4321061,20,26,54,8,4,4,3
4321062,24,5,40,7,6,4,3
4361003,6,0,16,0,3,2,0
4361004,0,3,0,0,0,0,0
4361006,0,0,3,0,0,0,0
4361007,8,0,0,0,3,1,0
4361008,0,0,0,0,0,0,0
4361009,0,3,0,0,1,1,0
4361010,0,0,3,0,3,2,0
4361011,0,0,24,0,0,0,0
4361013,2,0,0,0,1,0,0
4361014,4,7,9,0,3,2,0
4361015,8,0,15,0,1,1,0
4361019,0,0,0,0,3,3,0
4361020,2,0,15,0,1,0,0
4361022,4,1,0,0,2,2,0
4361023,4,0,23,7,4,2,0
4361024,0,4,0,0,0,0,0
4361025,0,6,5,1,5,5,0
4361027,0,7,0,2,3,2,1
4361029,2,5,0,0,0,0,0
4361032,8,0,23,3,6,3,1
4361033,0,6,19,0,3,5,2
4361034,18,5,38,7,3,4,0
4361036,0,4,14,1,4,4,0
4361038,0,12,20,6,0,0,0
4361039,0,23,33,8,6,5,1
4361042,11,3,50,2,5,5,3
4361045,14,0,36,4,4,4,1
4361047,4,0,5,1,5,4,0
4361048,24,9,54,6,6,5,1
4361049,6,2,36,7,4,6,3
4361050,6,5,41,0,4,4,1
4361051,6,8,5,0,3,2,0
