Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,117.83,118.73,116.57,118.57,118.01,28095200.0
2016-05-03,117.52,118.16,117.02,117.43,116.88,24117500.0
2016-05-04,116.61,118.3,116.57,118.06,117.51,23448400.0
2016-05-05,118.04,118.98,117.25,117.81,117.26,22056700.0
2016-05-06,117.16,119.64,117.11,119.49,118.93,26395600.0
2016-05-09,119.54,120.28,118.9,119.24,118.68,21138100.0
2016-05-10,119.62,120.5,119.0,120.5,119.93,23220000.0
2016-05-11,120.41,121.08,119.42,119.52,118.96,22038400.0
2016-05-12,119.98,120.84,118.9,120.28,119.72,22035500.0
2016-05-13,120.38,120.64,119.68,119.81,119.25,18124300.0
2016-05-16,119.38,119.61,117.35,118.67,118.11,31247800.0
2016-05-17,118.82,119.01,117.2,117.35,116.8,21328600.0
2016-05-18,116.8,118.27,116.73,117.65,117.1,21642300.0
2016-05-19,117.05,117.49,115.88,116.81,116.26,20544100.0
2016-05-20,116.96,117.99,116.95,117.35,116.8,18944800.0
2016-05-23,117.42,117.6,115.94,115.97,115.43,20441000.0
2016-05-24,116.24,117.73,116.12,117.7,117.15,20183600.0
2016-05-25,118.13,118.67,117.38,117.89,117.34,20019800.0
2016-05-26,118.24,119.76,117.92,119.47,118.91,18481300.0
2016-05-27,119.56,119.85,119.01,119.38,118.82,13493600.0
2016-05-31,119.46,120.1,118.12,118.81,118.25,23547600.0
2016-06-01,118.5,119.08,117.82,118.78,118.22,15029500.0
2016-06-02,118.69,119.44,118.22,118.93,118.37,13228300.0
2016-06-03,118.98,118.98,117.86,118.47,117.91,14135100.0
2016-06-06,118.62,119.43,118.36,118.79,118.23,12744700.0
2016-06-07,119.24,119.3,117.67,117.76,117.21,17103000.0
2016-06-08,117.76,118.6,117.27,118.39,117.83,14505600.0
2016-06-09,118.13,118.68,117.71,118.56,118.0,13859200.0
2016-06-10,117.54,118.11,116.26,116.62,116.07,18510800.0
2016-06-13,115.0,115.48,113.31,113.95,113.42,31718200.0
2016-06-14,114.07,114.95,113.58,114.94,114.4,17618500.0
2016-06-15,115.3,115.44,114.07,114.6,114.06,19819400.0
2016-06-16,113.87,114.5,112.94,114.39,113.85,19236300.0
2016-06-17,114.42,114.43,112.56,113.02,112.49,24644300.0
2016-06-20,113.77,114.72,112.75,113.37,112.84,20785400.0
2016-06-21,114.12,115.21,113.97,114.38,113.84,19166300.0
2016-06-22,114.65,114.74,113.61,113.91,113.38,14846300.0
2016-06-23,114.37,115.09,113.54,115.08,114.54,16176900.0
2016-06-24,111.01,113.68,111.0,112.08,111.55,40643100.0
2016-06-27,111.57,111.57,108.23,108.97,108.46,36130400.0
2016-06-28,110.63,112.75,110.55,112.7,112.17,26813800.0
2016-06-29,113.37,114.25,113.04,114.16,113.62,20968300.0
2016-06-30,114.67,115.18,113.67,114.28,113.74,23192700.0
2016-07-01,114.2,115.13,113.81,114.19,113.65,14980000.0
2016-07-05,113.94,114.2,112.97,114.2,113.66,14207000.0
2016-07-06,113.36,116.79,112.97,116.7,116.15,24337600.0
2016-07-07,116.63,116.97,115.36,115.85,115.31,16630200.0
2016-07-08,116.43,117.5,115.85,117.24,116.69,18142600.0
2016-07-11,117.71,118.7,117.5,117.87,117.32,17711600.0
2016-07-12,118.63,118.72,117.57,117.93,117.38,15217700.0
2016-07-13,118.39,118.4,116.68,116.78,116.23,16207700.0
2016-07-14,117.5,117.64,116.7,117.29,116.74,14579700.0
2016-07-15,117.74,118.28,116.58,116.86,116.31,16646000.0
2016-07-18,117.32,119.61,116.89,119.37,118.81,20868400.0
2016-07-19,118.99,120.85,118.66,120.61,120.04,21541300.0
2016-07-20,121.25,122.2,120.56,121.92,121.35,20046500.0
2016-07-21,121.92,122.1,120.25,120.61,120.04,17801700.0
2016-07-22,119.9,121.01,119.31,121.0,120.43,18422400.0
2016-07-25,121.39,121.85,117.78,121.63,121.06,18487400.0
2016-07-26,122.0,122.07,120.75,121.22,120.65,17612000.0
2016-07-27,122.42,125.0,121.51,123.34,122.76,52654200.0
2016-07-28,127.52,128.33,123.63,125.0,124.41,78955800.0
2016-07-29,124.65,125.84,123.71,123.94,123.36,35058800.0
2016-08-01,123.85,124.58,122.86,124.31,123.73,25006900.0
2016-08-02,124.06,124.8,122.07,123.09,122.51,23968400.0
2016-08-03,123.09,123.92,122.31,122.51,121.94,18525300.0
2016-08-04,122.94,124.79,122.51,124.36,123.78,21066000.0
2016-08-05,124.98,125.84,124.62,125.15,124.56,20184000.0
2016-08-08,125.25,125.45,124.55,125.26,124.67,15233900.0
2016-08-09,125.34,126.09,124.53,125.06,124.47,19621000.0
2016-08-10,125.07,125.48,124.54,124.88,124.29,10670100.0
2016-08-11,125.2,125.38,124.75,124.9,124.31,11729500.0
2016-08-12,124.7,125.0,124.18,124.88,124.29,12159000.0
2016-08-15,124.91,124.92,123.7,123.9,123.32,19295100.0
2016-08-16,123.5,123.92,122.78,123.3,122.72,14222400.0
2016-08-17,123.66,124.38,122.85,124.37,123.79,13794200.0
2016-08-18,124.01,124.26,123.64,123.91,123.33,12400800.0
2016-08-19,123.6,124.16,123.28,123.56,122.98,11688300.0
2016-08-22,123.33,124.83,123.11,124.15,123.57,14386400.0
2016-08-23,124.51,125.09,124.25,124.37,123.79,13309500.0
2016-08-24,124.47,124.69,123.09,123.48,122.9,12243700.0
2016-08-25,123.12,124.37,123.1,123.89,123.31,10730800.0
2016-08-26,124.05,125.19,123.91,124.96,124.37,17504800.0
2016-08-29,124.35,126.73,124.35,126.54,125.95,15925900.0
2016-08-30,126.6,126.6,125.15,125.84,125.25,17804300.0
2016-08-31,125.6,126.22,125.1,126.12,125.53,14200600.0
2016-09-01,126.38,126.63,125.6,126.17,125.58,13536100.0
2016-09-02,126.85,126.86,126.0,126.51,125.92,12118800.0
2016-09-06,126.67,129.94,126.47,129.73,129.12,26278400.0
2016-09-07,130.04,131.98,129.95,131.05,130.44,27990800.0
2016-09-08,130.92,131.08,129.81,130.27,129.66,15676600.0
2016-09-09,129.71,129.95,127.1,127.1,126.5,27100700.0
2016-09-12,125.96,128.76,125.75,128.69,128.09,21252800.0
2016-09-13,128.03,128.35,126.66,127.21,126.61,18016200.0
2016-09-14,126.89,128.8,126.89,127.77,127.17,15691100.0
2016-09-15,127.98,129.1,127.67,128.35,127.75,15077200.0
2016-09-16,128.2,129.18,128.2,129.07,128.46,24119200.0
2016-09-19,129.91,129.94,128.26,128.65,128.05,14958800.0
2016-09-20,128.65,129.17,128.03,128.64,128.04,11083800.0
2016-09-21,129.13,130.01,128.39,129.94,129.33,14068300.0
2016-09-22,130.5,130.73,129.56,130.08,129.47,15538300.0
2016-09-23,127.56,128.6,127.3,127.96,127.36,28326300.0
2016-09-26,127.37,128.16,126.8,127.31,126.71,15064900.0
2016-09-27,127.61,129.01,127.43,128.69,128.09,15637100.0
2016-09-28,129.21,129.47,128.4,129.23,128.62,12047600.0
2016-09-29,129.18,129.29,127.55,128.09,127.49,14532200.0
2016-09-30,128.03,128.59,127.45,128.27,127.67,18402900.0
2016-10-03,128.38,129.09,127.8,128.77,128.17,13156900.0
2016-10-04,129.17,129.28,127.55,128.19,127.59,14307500.0
2016-10-05,128.25,128.8,127.83,128.47,127.87,12386800.0
2016-10-06,128.43,129.06,128.08,128.74,128.14,11682700.0
2016-10-07,129.04,129.25,128.33,128.99,128.38,12804400.0
2016-10-10,129.68,130.7,129.2,130.24,129.63,15138700.0
2016-10-11,130.23,130.64,128.23,128.88,128.28,17537900.0
2016-10-12,129.01,129.66,128.46,129.05,128.44,11073000.0
2016-10-13,128.21,128.25,126.75,127.82,127.22,17139300.0
2016-10-14,128.49,128.95,127.58,127.88,127.28,13345300.0
2016-10-17,128.2,128.47,127.32,127.54,126.94,11351700.0
2016-10-18,128.68,129.39,128.01,128.57,127.97,13504000.0
2016-10-19,128.74,130.47,128.6,130.11,129.5,16752300.0
2016-10-20,130.07,130.66,129.5,130.0,129.39,13167500.0
2016-10-21,129.78,132.13,129.7,132.07,131.45,19088800.0
2016-10-24,132.72,133.41,132.15,133.28,132.65,17470200.0
2016-10-25,133.5,133.5,132.22,132.29,131.67,13336800.0
2016-10-26,131.64,132.26,130.94,131.04,130.43,13084700.0
2016-10-27,131.74,131.8,129.27,129.69,129.08,16741400.0
2016-10-28,130.5,132.97,129.93,131.29,130.67,24545500.0
2016-10-31,132.01,132.12,130.88,130.99,130.38,15669000.0
2016-11-01,131.41,131.94,128.65,129.5,128.89,22077800.0
2016-11-02,130.23,130.23,126.28,127.17,126.57,39640900.0
2016-11-03,122.0,123.28,119.5,120.0,119.44,63766300.0
2016-11-04,119.59,121.93,119.25,120.75,120.18,30545500.0
2016-11-07,122.83,123.21,121.35,122.15,121.58,23008900.0
2016-11-08,122.03,124.61,121.54,124.22,123.64,19460800.0
2016-11-09,121.5,123.81,120.51,123.18,122.6,31916000.0
2016-11-10,123.93,124.18,115.27,120.8,120.23,67846700.0
2016-11-11,119.53,120.7,118.15,119.02,118.46,32840100.0
2016-11-14,119.13,119.13,113.55,115.08,114.54,51377000.0
2016-11-15,116.73,118.49,115.83,117.2,116.65,34681400.0
2016-11-16,114.48,117.88,114.21,116.34,115.79,32397900.0
2016-11-17,116.81,117.79,116.01,117.79,117.24,18597800.0
2016-11-18,118.39,119.13,116.84,117.02,116.47,22879300.0
2016-11-21,118.2,121.95,117.8,121.77,121.2,35415400.0
2016-11-22,122.4,122.98,120.9,121.47,120.9,26089200.0
2016-11-23,121.23,121.31,119.94,120.84,120.27,15672100.0
2016-11-25,121.01,121.14,120.07,120.38,119.82,8658600.0
2016-11-28,120.12,121.69,119.82,120.41,119.85,18101300.0
2016-11-29,120.57,122.1,120.4,120.87,120.3,18891000.0
2016-11-30,120.32,121.79,117.95,118.42,117.86,30188900.0
2016-12-01,118.38,118.45,114.0,115.1,114.56,43277000.0
2016-12-02,115.11,116.48,114.3,115.4,114.86,25070400.0
2016-12-05,115.95,117.57,115.07,117.43,116.88,20201500.0
2016-12-06,117.69,117.8,116.33,117.31,116.76,19131200.0
2016-12-07,117.0,117.95,116.57,117.95,117.4,21913700.0
2016-12-08,117.98,119.5,117.64,118.91,118.35,22442800.0
2016-12-09,119.22,119.94,118.95,119.68,119.12,17464700.0
2016-12-12,119.22,119.24,117.65,117.77,117.22,17805500.0
2016-12-13,117.86,121.52,117.61,120.31,119.75,29768000.0
2016-12-14,120.0,121.69,118.85,120.21,119.65,25913100.0
2016-12-15,120.08,122.5,119.63,120.57,120.0,20139600.0
2016-12-16,120.9,121.5,119.27,119.87,119.31,25324300.0
2016-12-19,119.85,120.36,118.51,119.24,118.68,15918100.0
2016-12-20,119.5,119.77,118.8,119.09,118.53,13684400.0
2016-12-21,118.92,119.2,118.48,119.04,118.48,10767600.0
2016-12-22,118.86,118.99,116.93,117.4,116.85,16258600.0
2016-12-23,117.0,117.56,116.3,117.27,116.72,10890000.0
2016-12-27,116.96,118.68,116.86,118.01,117.46,12051500.0
2016-12-28,118.19,118.25,116.65,116.92,116.37,12087400.0
2016-12-29,117.0,117.53,116.06,116.35,115.8,9934900.0
2016-12-30,116.6,116.83,114.77,115.05,114.51,18684100.0
2017-01-03,116.03,117.84,115.51,116.86,116.31,20663900.0
2017-01-04,117.55,119.66,117.29,118.69,118.13,19630900.0
2017-01-05,118.86,120.95,118.32,120.67,120.1,19492200.0
2017-01-06,120.98,123.88,120.03,123.41,122.83,28545300.0
2017-01-09,123.55,125.43,123.04,124.9,124.31,22880400.0
2017-01-10,124.82,125.5,124.28,124.35,123.77,17324600.0
2017-01-11,124.35,126.12,124.06,126.09,125.5,18356500.0
2017-01-12,125.61,126.73,124.8,126.62,126.03,18653900.0
2017-01-13,127.49,129.27,127.37,128.34,127.74,24884300.0
2017-01-17,128.04,128.34,127.4,127.87,127.27,15294500.0
2017-01-18,128.41,128.43,126.84,127.92,127.32,13145900.0
2017-01-19,128.23,128.35,127.45,127.55,126.95,12195500.0
2017-01-20,128.1,128.48,126.78,127.04,126.44,19097200.0
2017-01-23,127.31,129.25,126.95,128.93,128.33,16593600.0
2017-01-24,129.38,129.9,128.38,129.37,128.76,15162700.0
2017-01-25,130.0,131.74,129.77,131.48,130.86,18731300.0
2017-01-26,131.63,133.14,131.44,132.78,132.16,20020100.0
2017-01-27,132.68,132.95,131.08,132.18,131.56,19539500.0
2017-01-30,131.58,131.58,129.6,130.98,130.37,18956100.0
2017-01-31,130.17,130.66,129.52,130.32,129.71,19790500.0
2017-02-01,132.25,133.49,130.68,133.23,132.61,50139800.0
2017-02-02,133.22,135.49,130.4,130.84,130.23,54366400.0
2017-02-03,131.24,132.85,130.76,130.98,130.37,24804900.0
